Tiempo de autenticación,Tiempo de actualización,Perdida,Uso de CPU,Numero thread
385442,696761,false,-1.0,dlg 0: ,
737814,310748,false,-1.0,dlg 1: ,
705314,254870,false,-1.0,dlg 2: ,
457285,325573,false,-1.0,dlg 3: ,
845578,1768700,false,-1.0,dlg 4: ,
4771272,1342776,false,-1.0,dlg 5: ,
1000667,1380408,false,-1.0,dlg 6: ,
769173,1115273,false,-1.0,dlg 7: ,
702463,989833,false,-1.0,dlg 8: ,
563909,929394,false,-1.0,dlg 9: ,
653997,1386679,false,-1.0,dlg 10: ,
559348,8471745,false,-1.0,dlg 11: ,
298204,236055,false,-1.0,dlg 12: ,
9764915,3184460,false,-1.0,dlg 13: ,
419653,956764,false,-1.0,dlg 14: ,
522285,2710639,false,-1.0,dlg 15: ,
549654,940228,false,-1.0,dlg 16: ,
443601,2724323,false,-1.0,dlg 17: ,
646585,1142642,false,-1.0,dlg 18: ,
333555,246888,false,-1.0,dlg 19: ,
260572,476101,false,-1.0,dlg 20: ,
361495,888342,false,-1.0,dlg 21: ,
465267,937948,false,-1.0,dlg 22: ,
503470,213248,false,-1.0,dlg 23: ,
348380,851280,false,-1.0,dlg 24: ,
454434,7438007,false,-1.0,dlg 25: ,
352942,830184,false,-1.0,dlg 26: ,
1189967,346100,false,-1.0,dlg 27: ,
615225,939658,false,-1.0,dlg 28: ,
992114,853561,false,-1.0,dlg 29: ,
485224,824481,false,-1.0,dlg 30: ,
526847,1430013,false,-1.0,dlg 31: ,
472110,848999,false,-1.0,dlg 32: ,
571891,3586437,false,-1.0,dlg 33: ,
452153,225792,false,-1.0,dlg 34: ,
240046,270836,false,-1.0,dlg 35: ,
237196,213818,false,-1.0,dlg 36: ,
270835,212677,false,-1.0,dlg 37: ,
452154,1149485,false,-1.0,dlg 38: ,
382591,292502,false,-1.0,dlg 39: ,
1184265,1034878,false,-1.0,dlg 40: ,
1696858,1000667,false,-1.0,dlg 41: ,
675094,1226459,false,-1.0,dlg 42: ,
891192,1317118,false,-1.0,dlg 43: ,
757200,344960,false,-1.0,dlg 44: ,
2456908,1015492,false,-1.0,dlg 45: ,
694480,4889300,false,-1.0,dlg 46: ,
991545,5055792,false,-1.0,dlg 47: ,
1257248,1143783,false,-1.0,dlg 48: ,
504610,1260669,false,-1.0,dlg 49: ,
522855,948781,false,-1.0,dlg 50: ,
6942520,4336794,false,-1.0,dlg 51: ,
1022334,6521156,false,-1.0,dlg 52: ,
361495,212107,false,-1.0,dlg 55: ,
361494,3477532,false,-1.0,dlg 56: ,
334696,9662852,false,-1.0,dlg 57: ,
1130099,5331189,false,-1.0,dlg 58: ,
248029,199563,false,-1.0,dlg 59: ,
367767,3332707,false,-1.0,dlg 60: ,
449303,6063872,false,-1.0,dlg 61: ,
404828,6134574,false,-1.0,dlg 62: ,
476671,4254118,false,-1.0,dlg 63: ,
7098749,4116705,false,-1.0,dlg 64: ,
338117,269126,false,-1.0,dlg 65: ,
289652,202984,false,-1.0,dlg 66: ,
352371,197282,false,-1.0,dlg 67: ,
414521,313029,false,-1.0,dlg 68: ,
923692,9448464,false,-1.0,dlg 69: ,
628910,14354869,false,-1.0,dlg 70: ,
851279,12880382,false,-1.0,dlg 71: ,
510882,2898799,false,-1.0,dlg 72: ,
534830,3965037,false,-1.0,dlg 73: ,
1193388,28927547,false,-1.0,dlg 74: ,
455004,3428496,false,-1.0,dlg 75: ,
347810,222371,false,-1.0,dlg 76: ,
245748,405399,false,-1.0,dlg 77: ,
249169,209256,false,-1.0,dlg 78: ,
367767,2983756,false,-1.0,dlg 79: ,
468688,15770057,false,-1.0,dlg 80: ,
882069,29354613,false,-1.0,dlg 81: ,
665971,3092660,false,-1.0,dlg 82: ,
871236,22832316,false,-1.0,dlg 83: ,
363205,2491690,false,-1.0,dlg 84: ,
595269,4315698,false,-1.0,dlg 85: ,
967597,3283671,false,-1.0,dlg 86: ,
583294,3490076,false,-1.0,dlg 87: ,
419083,3553366,false,-1.0,dlg 88: ,
352372,318731,false,-1.0,dlg 89: ,
332986,274257,false,-1.0,dlg 90: ,
322152,192151,false,-1.0,dlg 91: ,
350091,294783,false,-1.0,dlg 92: ,
326143,530838,false,-1.0,dlg 93: ,
322152,318160,false,-1.0,dlg 94: ,
375749,1006369,false,-1.0,dlg 95: ,
236055,204125,false,-1.0,dlg 96: ,
250309,205265,false,-1.0,dlg 97: ,
677945,1159177,false,-1.0,dlg 98: ,
1177423,1446548,false,-1.0,dlg 99: ,
